stage,type,presenter,content
2,answer,韓國瑜,"謝謝蘋果日報的提問，完全反應了蘋果日報這種沒有水準的媒體。

我談的是大海，國家的發展、總統的領導、總統的派系被包圍了、未來中華民國的前途；妳跟我談的是一個漱口杯的問題，問我的私生活。妳為什麼不問我的初戀幾歲？妳為什麼不問我結婚之前談過幾次戀愛？妳為什麼不問這些問題？

自從黎智英董事長，帶了蘋果日報和壹週刊進了台灣，把整個台灣的媒體弄得腥風血雨，弄了八卦新聞，害得多少人這個家庭失和。蘋果日報幾十年來，進了台灣市場，卻是在這裡⋯今天總統大選提的題目，還在問我的私生活，要不要問我幾歲之前還是處男？無聊！抹黑、造謠，非常沒有水準，讓我大失所望。

我們對於蘋果日報，在一兩個月前已經正式提出法律告訴。我知道，你們喜歡八卦，你們為什麼目標只看到韓國瑜八卦？不看到蔡總統的八卦？哦！你們害怕得罪當權派，你們永遠兩種標準。

親愛的台灣同胞，蘋果日報這種沒有水準，專門造謠、中傷別人的媒體，你們要用智慧唾棄他，而且要看不起他。知識分子，這些記者，良心被狗吃掉了。

勞工，蔡英文總統說，是妳心中最軟的一塊，錯，勞工手上神聖的選票，對妳來說才是最甜的一塊。

今年，有四萬家公司工廠會倒閉，韓國瑜提出的政策非常符合勞工的權益。如果放無薪假，保證收60%的工資，保護勞工。百分之93的勞工現在拒絕，自己辦理所謂自退的基金，為什麼？他們不信任政府。未來，韓國瑜會跟雇主、勞工本人，我們出3%，勞工出3%，雇主出6%，合起來12%，存在你勞工的戶頭，每一年補助勞工一萬零八百塊。

第三，勞工我們要考量，盡可能招商引資，帶動這個大水庫，整個台灣的經濟體起來之後，勞工的條件會有所改變。韓國瑜絕對跟蔡英文不一樣，我們以勞工、農民，庶民為第一執政優先考量。謝謝。"
2,question,聯合報總編輯 范凌嘉,"三位好。蔡總統在就職的時候強調過說，我們有堅定信念去捍衛自由民主的生活方式，但是執政之後我們看到自由民主逐漸的流失。例如，蔡總統曾經喊過，台灣人有權力要求公投，但執政後卻對公投結果視而不見，甚至動員多數去修改法律，剝奪台灣人民舉辦公投的時機。

陳前總統他打破保外就醫的四不規定，但是政府卻不開庭、不回審、不特赦，導致社會撕裂。

監委陳師孟約詢法官，總統推說是監察司法兩院長期存在的問題，但這明明就是首次有監委他依自身的意識型態，去侵犯司法審判的核心，權力完全失衡，所以才引發八成、也就是一千六百八十九位法官的抗議。
這邊我想三問蔡總統，您所謂的沒收公投，符合您主張的還權於民嗎？阿扁破壞法治，身為法律人，您不生氣嗎？如果馬前總統提名的監委，他專門只調查判民進黨無罪的法官，您能接受嗎？

那同樣三題也請教另外兩位候選人，謝謝。"
2,answer,蔡英文,"同樣的道理，沒收公投這句話真的言重了。
　　我們因為上一次，在地方的選舉、九合一的選舉，再加上有好幾十項的公投，議題公投，造成選舉的步調大亂，人民也在大排長龍的情況下去投票，造成在九合一選舉的時候的混亂。我們也希望，公投是能夠經過，有足夠的討論，而且經過人民的理智決定，不是在選舉的勝負輸贏之中，去考量公投的意向，跟它特別的、特定的議題上面的想法。

所以我們就決定說，如果我們把兩件事情分開，讓它脫勾，讓公投回歸公投，大家可以提議案，大家可以去連署，大家可以形成社會討論氛圍，而不受到選舉的輸贏的影響的話，其實對台灣的民主的發展，跟公投制度的健全，其實是更好的。

至於，陳前總統的事情，我想跟您說的是，陳前總統的保外就醫，是馬英九總統時代所做的決策。那麼對於一個總統來說，一個保外就醫的人，他有甚麼樣的自由、他可以做什麼事情、他不可以做什麼事情，不是總統決定的事情，這是法務部、跟我們的執法機關、跟監獄的管理單位去做的決定，那麼如果他的行為不當，或過度違反保外就醫的規定的話，他們就應該去執行法律。

至於監委的事情，我已經說過了，無論是誰執政，也不論是誰提名的監委，都有監委調查司法官的事情。那我也說過，這是一個兩個獨立行使職權的機關，之間對於他們的職權的範圍的爭議，這個不是總統可以介入，這是這個職權獨立行使的機關，他們可以透過協商、協調機制去畫出那條線，使他們獨立行使的權力，不會相互扞格。"
2,answer,韓國瑜,"謝謝。想到公投，就想到當年嘉義市的立法委員，蔡同榮先生。我們在立法院當同事，永遠看他，看到立法委員打躬作揖、再三拜託，就是希望通過公投法。

他會講國語，從來不講國語，都講閩南話。看到韓國瑜就鞠躬：「哇甲哩拜託欸，公投法很重要。」蔡同榮委員，在立法院幾十年的心血，就是通過這部公投法。讓台灣人民直接民權，直接意志力可以反映在公投法。

台灣鄉親非常遺憾，這一次2018年的公投，我們蔡英文總統選擇了全部沒收。等於民進黨的蔡英文總統，自己打臉民進黨的立法委員蔡同榮，這樣子來妨礙台灣直接民權的發展，令人不可思議。

民進黨在野的時候痛恨國民黨四件事情：

第一，司法不公，結果民進黨今天做的變本加厲；
第二，黨庫通國庫，結果今天民進黨貪污腐敗；
第三，新聞不自由、新聞不中立，結果今天民進黨收買台灣90%媒體，還秘密的建立網軍，抓到的是楊蕙如，沒有抓到的楊蕙如還有多少？族繁不及備載。
　　民進黨最痛恨國民黨的第四件事情，在立法院，叫做野蠻多數暴力，忽略程序正義，今天反滲透法，民進黨完全是野蠻立法，忽略程序正義。

各位親愛台灣鄉親，一個清廉、勤政、愛鄉土的民進黨，30年來這麼多人支持、愛護民進黨的好朋友，甚麼時候民進黨墮落到這種程度？控制司法、控制媒體，一樣，國庫通黨庫，黨庫通自己的家庫，大撈特撈、大貪特貪；另外，野蠻立法，讓台灣人民反滲透法，每一個人脖子上綁一顆炸彈，隨時犯法，遙控器、引爆器在民進黨的手上。

親愛的台灣人民，國民黨做的爛，該下台；今天，2020年，是民進黨該下台了。"
2,answer,宋楚瑜,"謝謝范先生，我非常欣賞剛剛韓市長最後講那句話：「國民黨做得爛，下台；現在大家討厭民進黨，所以民進黨下台。」那應該要怎麼樣子撥亂反正，剛剛范先生就提到了，公投的問題、陳水扁先生的問題、陳師孟的問，不都是一個亂字嗎？
　　公投要有門檻，當年親民黨在立法院就是主動的提出來，公投的門檻不能隨便下降，尤其是公投的題目不要隨便亂提，而影響了國家安全和安定。
親民黨的黨團在立法院發揮了重要的作用，我也謝謝蔡總統，當時也能夠要求民進黨的黨團，對於親民黨、對於兩岸的重大問題的改變，不要親自地、輕率地去做些公投的提供來。

第二個，坦白講，所有這些許許多多的，這些所謂門檻的問題也好，或者實質的問題也好，明明上一次的公投，對很多重要的問題，做了一些決定，但是很顯然地，民進黨沒有完全按照人民的意思，好好重新調整他應該、人民反映的重要意見。

比如說，對於核能發電的問題、對於同婚的問題的處理的方式的問題，等等，那既然是已經做了這麼樣子一個大的動作，那為甚麼不好好地處理？

我也順便來談一下韓市長，我對於您剛剛，跟蘋果日報的那個爭論，那就是未來的國家領導人，要了解對於新聞界尊白講，川普是一個很壞的例子，不要去學他。一樣，今天我們又看了，另外一個壞的例子，那就是言論的自由要尊重，事實的真相要主動拿出證據來溝通，我將來會依據這一個基本原則，來處理這些事情。謝謝！"
2,question,中央社總編輯 陳正杰,"三位候選人好，我要問的是兩岸跟外交的問題。

中共透過修憲實現強人領導之後，立場更為強硬跟極端，對內加強箝制言論的自由，對外進一步打壓台灣的國際活動空間，搶走了中華民國的邦交國，升高了對台灣的軍事、恫嚇，以及對台灣的，分戰-分化、統戰以及滲透，提出了一國兩制、台灣方案，並且在國際上因為一帶一路，南海的軍事化、新疆的再教育營，以及香港反送中運動，等等因素，使得世界各主要民主國家對中國的疑慮更為加深。

我想請問三位候選人，對於這樣兩岸以及國際的局勢有甚麼看法？特別是韓市長以及宋主席，你們如何說服選民，相信，如果你們成為台灣的總統，能夠在這樣的情況之下，面對這樣的一個政權，能夠跟對岸建立一個良好的關係，而不必在台灣的主權、尊嚴、民主以及自由，等方面做出任何的讓步。

請問蔡總統，您上任之後，兩岸關係逐漸地降溫，現在目前雙方的政府，沒有任何的對話，這樣的僵局要如何打破？假使您連任勝選——對不起，勝選連任－再繼續執政的話，那北京再，搶走台灣幾個邦交國，您的政府要如何因應？謝謝。"
2,answer,韓國瑜,"謝謝這個問題，習近平主席說做人要孝順爸爸媽媽，台灣人要不要聽？
　　習近平主席說做人要講義氣，台灣人要不要聽？
　　習近平主席說要一國兩制統一台灣，台灣人要不要聽？

親愛的中央社總編輯，你自己的問題都已經把台灣自己狹窄化了，可憐啊！意識形態自己把自己綁起來了。

親愛的台灣人民，我們是中華民國。我們在這裡選總統，我生在台灣，長在台灣，將來我們都會死在台灣，我們也會埋在台灣。
　　我們不維護中華民國主權，誰來維護？
　　蔡英文總統旁邊一大堆貪官污吏，比貪污更嚴重的是什麼？我告訴各位，叛國！自己背叛自己國家的罪行比貪污還嚴重！我當然要維護中華民國憲政體制啊，我們既然維護了中華民國的憲政體制，反過來何怕之有？民進黨灌輸了一大堆的毒素，要亡國了、要被中共侵略掉了，蔡英文總統告訴大家中華民國要滅亡了，四年了中華民國還沒滅亡。
同樣的，你一天到晚說國民黨賣台，馬英九執政八年有賣台嗎？韓國瑜當高雄市長，全高雄都是五星旗的中共國旗，有一面嗎？

親愛的台灣人，我們到底要浪費多少時間在這些無聊的、設計的意識形態？把我們自己的發展像裹小腳一樣裹起來。就像剛剛這個總編輯提的題目一樣，到現在我們選的總統還在懷疑我們會不會接受一國兩制。我的天啊，我的天啊，多可怕！

中華民國台澎金馬，我們要中華民國跟海外五千萬華人連結在一起。我們有中華文化，讓我們的精神層面，跟我們儒釋道的國學底蘊，跟五千萬華人連結在一起，跟我們老祖宗可以聯繫在一起。

為什麼韓國瑜說第一個政見，捍衛中華民國？為什麼熱愛中華文化？民進黨把中華民國做小了、不見了，把中華文化砍斷了，讓台灣越來越孤獨。親愛的台灣人民，擦亮眼睛。我們一定維護中華民國的憲政體制啊！"
2,answer,宋楚瑜,"謝謝陳總編輯所提的問題。我個人對於兩岸的的問題的基本立場，那就是要穩定兩岸和平，確保台灣的自由民主的價值和我們的體制。在兩岸當中，我跟其他的國家的領導人，特別是美國跟日本，也有交換過意見；我跟對岸也談過這個問題，那就是對岸必須正視華民國政府存在的事實。

我們主張對等分治、兩岸對話、和平發展。在中國大陸還沒有完全實現自由民主制度法治之前，台灣絕對主張維持現狀。
　
　　但是有一個底線，任何台灣現狀的改變，必須要得到台灣兩千三百萬人，以民主的方式來共同決定，中華民國必須遵守中華民國的憲法，和憲法的增修條文，以及兩岸關係條例。用和平、對等、有尊嚴的協商方式，來解決兩岸的爭議；而絕對不會放棄台灣未來在國際發展的權利。

我們相信希望要有四個相關的安全保證，台灣要有軍隊，維護我們基本的心理和實質的安全；台灣要對國際的組織，我們應該有權利去參加；第三 我們兩岸的經濟的彼此互動，應該確保台商他們公平發展的機會；最後，台灣生活自由民主的制度要去確保。所以因此，兩個基本的重點，民進黨已經斷掉跟對岸任何正常的溝通管道，我會全力去做，特別希望，我回頭在最後的時候會做一些保證，那就希望兩岸很多很多交流的項目，對方應該設身處地多了解台灣，要有接台灣的地氣"
2,answer,蔡英文,"謝謝主持人。我剛才聽到韓市長的斬釘截鐵地說他不接受一國兩制，可是當習近平剛開始說一國兩制九二共識的時候，韓市長的回答是他不清楚，支支吾吾，甚至於在三月的時候，還到中聯辦去訪問，去創造一國兩制的氛圍。

我要告訴韓市長，或許你現在是拒絕一國兩制，但是一個領導人不是在社會壓力底下才去接受這樣的立場，一個領導人，是要去領導這個社會，在剛要做決定時就要當機立斷去做決定，要在人民之前去領導人民對變局的時候，發生的任何事情的反應，不是人民反應了，不是人民壓力大了你才拒絕一國兩制。

那麼至於我們對於兩岸關係的處理，在過去的這段時間，我們秉持的是不挑釁也不貿進。

我們也讓兩岸關係能夠正常的交流，我們也沒有限縮兩岸關係的交流，倒是中國方面把兩岸關係的交流，一些觀光客，還有經貿的交流，拿來當作一個政治的籌碼，這才是真正的問題的所在。

那我們這個時候最重要的就是要維持、要保護、捍衛我們的國家的主權。尤其是在今年初，習近平所講的一國兩制台灣方案端上台灣媒體的時候，對所有的台灣人來講，現在最重要的問題，就是讓台灣的主權可以確保，防止台灣被併吞，這是我們的第一優先。

剛才宋主席講了很多話，我覺得就像我剛開始講，我們有一些相同的基礎，我們可以坐下來好好的談，我們來形成一個國家團結的態勢，共同來面對兩岸現在的局勢。只要我們展現維持國家主權意志跟決心，我們也盡了最大的努力來維持，我們兩岸的關係的和平穩定，我們內部可以團結一致，我相信北京當局終究是要跟台灣打交道。那麼在可見的未來，兩岸關係能化解是絕對有機會的，謝謝。"
2,question,自由時報總編輯 鄒景雯,"各位好 我是鄒景雯，最後一個提問。

首先我想要請教宋先生，從兩千年開始，每隔四年，我們就會在這個擂台上見面。二十年過去了，我想請您分析，台灣整體，不只是政治圈，剛剛您談了很多政治圈的批判，我想台灣整體這二十年，一路走來的，這個得失成敗是什麼？最重要的是，你認為，台灣未來，我們的國家，該致力發展的方向是什麼？

其次我想要請教蔡女士，1996年到現在，我們一共產生四位總統，前面三位總統都有八年的任期，不算短的時間。有的留下民主，有的留下了遺憾、有的留下了很多的問題。我想請問您的是，如果妳有機會連任，妳最想為這塊土地留下的是什麼？四年已經過去，妳只剩下一半的時間，妳該怎麼做？

最後我想請教韓先生，你剛剛也特別提到反送中這事情，我個人認為這件事情，是影響這次台灣大選，最重大的變數。真是深受其害啊，為什麼呢？因為中國政府處理不當，他處理的不當讓國民黨的選情受到了嚴重的傷害。我想這是一個兩岸之間，最本質的一個問題，也是歷任我們的總統，無可迴避必須面臨的核心挑戰。如果您有機會當總統，您怎麼看待這件事情？謝謝。"
2,answer,宋楚瑜,"謝謝我的老朋友，您剛剛跟我說到，我這二十年來看了台灣的發展，坦白講是熱鬧有餘，扎根不足。嚴格講起來，我們的民主確實應該要有多采多姿，民進黨，人民給了它機會；國民黨，也給它了機會。但是他們忘了台灣不需要強人，台灣需要一個堅強的領導，而領導的團隊要有紀律，這個團隊的紀律，更重要的，它要有方法要有策略，能夠把人民所期待去做的事情，好好地能夠兌現。

坦白講，在馬總統的領導之下的八年，為什麼人民最後只剩下給他9%的評價，我們看到蔡總統，她的團隊一樣沒有紀律，為什麼高雄會輸的那麼慘？
那就是台灣人民坦白講有個很大專長，那就是他有耐心，但是他會在最後做最好的判斷。

那就是他了解得到，他才是我們國家未來的頭家。

所以對這方面我覺得，我對於過去這些年來，人民曾經給過我機會，我在該要去協助民進黨的時候，去穩定兩岸的時候，我願意跟蔡主席那時候一起合作。
她剛剛講的，不過蔡總統，不是所有事情都問我，做壞的那些事情都沒有問過我，所以搞得亂七八糟。

從另外一方面來講，我對國民黨也一樣，為什麼失望？十年來，從來沒有幫我真正把我看做是所謂的藍軍的一份子。坦白講，選舉的時候泛藍要大團結，平常的時候就惡整你。

像這樣子的做法上面，我看過人生的百態，但是今天為什麼要出來，因為放下一切，最後有這個好的機會，重新讓大家覺得，宋楚瑜還願意為台灣人民好好地做最後的服務，謝謝大家。"
2,answer,蔡英文,"謝謝主持人。
　　我剛剛仔細聆聽宋先生講法，確實在過去一段時間，我們很多事情是有溝通的機會，直接或是間接，可是你剛剛講的壞的事情沒跟你問過，我想就是因為沒問過所以有誤解，很多事情其實不是像你所想像的那樣情況。

我也說過，你其實也告訴我過，其實對於現在發生的事情，有些事情還需要有更進一步了解，我上次也說過，我們或許政見會完，或者是我們的選舉結束以後，您需要怎樣資訊上，或者需要怎樣的解說，我們都會來做。

至於剛才鄒總編輯所提到的問題，我想每一個領導人在他擔任領導人的時候的當下的局勢，是他最大的挑戰。那麼現在的台灣，最大的挑戰，莫過在於中國擴張的企圖心是越來越強，那麼我們整個的區域的局勢是越來越複雜，那麼台灣的主權、台灣的民主自由方式，被削弱、或者是被破壞的危機，是存在的。

所以這個時候，此時此刻，當下的領導人，最重要的就是要窮盡所有辦法來維持、來保護我們的主權，同時讓台灣的自由民主生活方式可以持續下去，讓台灣每一個世代的人，尤其是年輕人，都有能力、也有權力來決定自己對未來的選擇。

至於美中貿易戰，確實帶來了世界經濟體系的一個重新的調整，尤其是產業鍊的改變，那麼這個在變局當中，現在的領導人必須帶給台灣做經濟的改變跟布局的改變，讓我們在這個變局當中，重新變為未來供應鏈的核心，也能夠主導未來新的產業發展，讓台灣在未來的產業發展佔重要的一席之地。

第三個，就是我們必須要跟國際有更深、更重要的連結，現在我們跟很多的國家在經濟和政治各方面都有很深的連結，這個未來我們會繼續做下去。謝謝。"
2,answer,韓國瑜,"鄒總編輯，非常感謝。

先回覆一下宋主席講的媒體自由。
　　我絕對尊重媒體自由，但是過去一年半，台灣2020年總統大選從沒有這麼骯髒過。一年半來，如果整個90%媒體是攻擊宋楚瑜主席，甚至您最摯愛的萬水姐姐，還有所有百分百的網路黑你，黑你喝酒抱女人、黑你的岳父、黑你是黑道、黑你是流氓、黑你的孩子不是你生的、黑你岳父家所有的房子、房地產、黑你在在台灣省長的時候，萬水姐姐有沒有夫人干政，連續黑你一年半，今天你會這樣說嗎？

看到韓國瑜被黑被打，你呼籲韓國瑜要有風度，尊重媒體。宋主席，看了別人挨打挨揍，覺得很輕鬆，2020年台灣總統大選，台灣幾十年民主政治有像今天這麼髒、這麼惡劣嗎？民進黨副總統候選人賴清德，就坐在這裡，你自己作證，你在今年四月、五月，你被網軍打成甚麼樣子，不是一樣叫爺爺、叫奶奶嗎？

親愛的台灣人民，媒體自由我們絕對尊重，惡劣的媒體全民譴責。為何我不接受三立電視台的採訪，我說你改個名字，我這裡呼籲三立電視台改成兩立，我就接受你訪問，為什麼少一立，因為沒有良心，剩下兩立是哪兩立？第一個造謠，第二個抹黑，這還叫新聞媒體嗎？

另外，蔡英文總統跟一國兩制，跟我早上刷牙的牙膏快用完，我一直擠一直擠，我看到蔡英文在擠韓國瑜，把他往一國兩制擠，急得不得了，跟擠牙膏一樣地擠。我們是選總統，支持中華民國憲政體制，不是選票考量，是我們的信念，是台灣人的價值，不要去抹黑人家。

你愛台灣，我也愛台灣。你愛中華民國嗎？我不知道。我愛中華民國。你對兩千三百萬人民有感情嗎？我不知道，因為你覺得好遙遠。我有感情。

不要擠牙膏的把韓國瑜往一國兩制擠，非常沒有水準。我們都愛台灣、愛中華民國。"
3,question,韓國瑜,"謝謝主持人，我想請問一下兩位總統候選人，你們是有神論還是無神論？我是有神論，我拜觀世音菩薩、拜佛祖、拜媽祖、拜關公。
　　如果你們是無神論者，下面問題不必回答，如果是有神論者，請你們回答。

你認為我們人在世間上所做的事情，天上的神，在看著嗎？天上的神，在記錄我們一生所做的點點滴滴嗎？

第三，如果你是有神論者，請問，權力越大的總統，任內不好好做事情，辜負人民期待，一大堆貪官汙吏，韓國瑜如果當上這種總統，會上天堂還是下地獄？

我再請教一下，你們到底相不相信世間有神？我相信。我是有神論者。請回答。"
3,answer,宋楚瑜,"韓市長，我從小，我的父親告訴我，我的祖母曾經教導他，我的父親也教導我，舉頭三尺有神明。

我用這樣的信念來從政，政治，就是良心事業，政治要真正把人民的疾苦，要好好的去關心，公門好修行。坦白講，人在做天在看，事實上，一步一腳印，人民不會忘記你曾經做的努力。走遍台灣所有地方，沒有人不曉得，那個路標是宋楚瑜開始去做的；你一到高速公路上你內急，要去上廁所，那個所有的加油站，開始去做廁所的，也是宋楚瑜開始去做的。

人民的小事就是政府的大事，政府不可以不當一回事。

不錯，政治難免會被人家誣衊，你剛剛說你曾經被人家誣衊。我從政四十年來 我是藍軍罵我綠了，綠軍罵我藍了，或者是紅了。坦白講你去看看大陸的網軍，前段時間不是也是被人家去動員，把宋楚瑜搞得不紅不綠，事實上宋楚瑜真正心中有神明，自己內心曉得該做什麼事情。不要怕。如果你嫌廚房太熱，就不要進廚房，那就是人行得正，最後老百姓會對你有公道。

我已經離開掌權的職務很長時間，我不需要保鑣，我到街上去走，好多人會好好地給我打招呼，我心裡面很安慰，台灣人是有良心的，謝謝。"
3,answer,蔡英文,"謝謝韓市長的問題。

我想生活在台灣的人，在台灣長大的人，不論是有神論、無神論，對於神明都帶著一個虔誠跟敬畏的心。我們都有一個共同的一個責任，就是把良善的力量，在台灣的社會讓他可以普及，讓他可以變成大家共同所有的一個資產。

但是做總統的，除了要有一顆良善的心、有一顆敬畏神明的心之外，我覺得總統的心態其實是很重要。聽完三場的政見會，我覺得，如果韓國瑜當選總統，威權、封建、退步的國民黨就要回來了。

第一個，我覺得韓市長的想法很封建。你和國民黨都一樣，非常地歧視女性，歧視移工，歧視原住民、歧視新住民的這些言論，讓人覺得時代在進步，可是你的想法沒有跟得上時代。

第二個您的想法很威權，你把政治、人民當酬庸，把以前國民黨執政的那一套政治分贓貼到別人身上，國營事業的主管任用，有制度可以依循，我們都依法辦理。我哪一個任命是違法的？

第三，你根本不懂民主政治。民主政黨內部有競爭，對外是團結，不像威權政黨一遇到競爭就分裂。民進黨內部有競爭，被你講成架空，怎麼不想想你們的國民黨離選舉只剩下兩個禮拜，還是團結不起來。

你現在用張冠李戴的方式挑撥民進黨，不會影響到甚麼，只會讓人覺得你不懂民主，做為台灣的總統，對民主有了解最重要。"
3,question,宋楚瑜,"蔡總統，韓市長在，這幾天反覆的說，您重用派系，你被派系綁架了。

我要請問蔡總統，他們告訴我說，您好像東漢的漢獻帝，身邊不但有董卓，還有曹操還有袁術，還有袁紹。
而您的英派，就是你的劉皇叔嗎？
韓市長，我也要問你，你身邊的，馬幫團隊，是不是，將來，你能承諾，
您絕對不會讓那個施政滿意值掉到，百分之九的那個馬幫團隊，又班師回朝，又來黑宋？
我相信，大家都曉得，會做事的人常常被那個不會做事的人嫌他太能幹。所以韓市長，你要小心，這些人，事實上，為什麼，你最近提出來的這些，這些政策，常常被大家，好像不能接受，因為都是這些不接民意的人，謝謝。"
3,answer,蔡英文,"謝謝宋主席。
我覺得很多歷史的故事，歷史上發生的事情，我們可以拿來借鏡，但是我們還是要注意到，歷史上發生的事情和現在發生的事情，他的時空環境不一樣，制度不一樣，現在是一個民主時代，是一個高科技的時代，這是一個民主自由、開放、透明化的社會，跟封建時期的資訊不公開，跟封建時期的威權的這種作用，完全是不一樣的。
民主政黨內部一定有競爭，一定有人跟人的結合在一起，然後進行民主的競爭。長久以來民主進步黨就是這樣的政黨，我們有很多不同的想法或者是不同的立場，但是我們對於國家的基本立場都是持一樣態度，對國家的使命感也都是一樣的。

所以我們雖然有內部的競爭，但是當競爭完畢的時候，我們就團結在一起。

這是在歷史上一次又一次的發生，我們民進黨確實是一個注重競爭的關係，而且有一個競爭的機制，讓我們在民主的過程中，每一個人都可以參與競爭，但是在同時我們也有團結的機制跟團結的精神，這個就是民主政黨。

沒有所謂派系的問題，沒有被派系架空的問題，我不濫權但是被講成架空，我做為所當為，可是被說成是一個威權總統。
我覺得批評我的人，對這兩件事的矛盾是不是要想一想。我們的執政團隊是我領導，我負所有的責任，我們按照憲政體制，我們分工，我們分頭並進，我們共同執行任務，共同承擔執政的成敗，但是總統負最後的責任。"
3,answer,韓國瑜,"謝謝宋主席，為什麼剛才第一題問兩位是無神論還是有神論。
我爸爸活到84歲，一輩子無神論。他過世前一個星期把我叫到旁邊，聲音非常小聲告訴我，這個世界上有神耶。我問我父親，爸爸你看到了嗎，你聽到了嗎？搖搖頭，你看到了嗎？搖搖頭。
我說為什麼你說世界上有神呢
我父親說，我知道，真的有神。

你一輩子都無神論，怎麼此時此刻突然覺得，我父親說，我已經感覺到了。

親愛的兩位總統候選人，親愛的台灣人民，從事政治活動大的是總統，小的是村里長、縣市長、立法委員。我們前面永遠有兩條路，人民投票投給我們，票給我們，我們要造福人民還是造孽。我們拿到這個權力，好好做事情，人民感謝，當然期待可以上天堂。
人民把票投給我們，我們在那裏為非作歹，貪污舞弊，造孽！我們有可能會下地獄。

所以為甚麼講我心中有神明，我做什麼事情都不敢亂來。包括人家說我喝酒抱女人，對不起，我從來不抱。為什麼？我有神明。我每天晚上睡覺都要念佛經的。但是我強烈懷疑，蔡英文總統領導的民進黨團隊，到底能不能夠敬天畏神？做的事情，到底有沒有違背天理，違背道德，違背了台灣人民對你們的殷殷期盼？
你們到底，鄒總編輯問的，四年之後你留下台灣人民是什麼？你們的團隊到底是造福台灣人民還是在造孽？這個是何其重大。
親愛的台灣人民，國民黨腐敗過，遠離人民，下台。2020年民進黨遠離人民腐敗，下台。"
3,question,蔡英文,"謝謝主持人。

韓市長曾經簽署過一份主張，叫做無色覺醒。這裡說台灣人就是中國人，你願意以開放的態度，討論未來兩岸人民能接受的統一步驟與模式。

韓市長，你這樣做不就等於承認台灣是中國的一部分嗎？這樣中華民國還能夠萬歲嗎？

如果台灣的未來要兩岸人民都能夠接受，而且是統一的模式，難道要由14億的中國人決定我們2300萬人的未來嗎？請問這是你的主張嗎？是國民黨的主張嗎？

在你回答問題的時候，請你不要說我抹紅你，請你就事論事。

同樣的，我也想問一下宋主席，你能夠接受這個無色覺醒嗎？"
3,answer,韓國瑜,"謝謝蔡總統，無色覺醒是無色，我是國民黨，是藍色。台灣民主自由的可貴，各自表達意見，所以，我認同他們可以表達意見的，這種政論思想。就像你認同台獨一樣，可以在台灣，可以散佈，你並沒有取締他。

謝謝蔡英文，總統這麼睿智的一個問題，還在擠牙膏，把我擠到一國兩制方向。民國89年8月4號，蔡英文總統你親自答覆的，一個中國，可能是未來五年十年，甚至更久，兩岸共同共榮的一個體系，民國89年8月4號你親自說的，你是不是在賣台？民國89年8月，你是陸委會主委，你在立法院答詢，陸委會的年報都有，未來一個中國是台灣人唯一的選擇。親愛的蔡總統，你是忘記了，還是害怕想起？

裝睡的人叫不醒，裝聾的人聽不見。蔡英文總統，妳是不是在賣台，你怎麼敢說未來一中是台灣人唯一的選擇？

蔡英文總統，你一直把我不停地把我往一國兩制推，一直說台灣主權絕對不能交換經濟。你民進黨檯面上人物這麼多，在出賣台灣主權交換經濟利益，你沒有任何作為。

你自己本人都說2300萬人台澎金馬人民，唯一，一個中國是唯一選項，你親口回答，你今天還在這裡指責我。老天，這世界上還有公理跟正義嗎？

親愛蔡英文總統，面對問題，台灣，我們都熱愛的家園，選擇台灣健康光明亮麗的發展，是我們在場三個人，共同的責任。不要扣帽子。請台灣人民看清楚。"
3,answer,宋楚瑜,"謝謝蔡總統提出這個很重要的問題。事實上這個問題有兩個字，一個叫路線一個叫底線，

兩岸之所以目前分治，基本上是行著不同的路線。我們堅持的是自由民主的道路，我們遵守的是孫中山先生的民有民治民享的路線。親民黨和我一向主張，天大地大人民最大，這個是路線。

什麼是兩岸之間交往的底線，那就是我說任何台灣現狀的改變，都必須要得到台灣2300萬人民以民主方式來共同決定。

哇係呷台灣米，喝台灣水大漢欸，我才能當選台灣省的省長，呷係台灣人，但是我也是中國人。

事實上這兩個當中，在我們的憲法裡面很明文的很清楚地了解得到，兩岸在基本的歷史上不可分。如果我們昧於今天歷史，我們必須要誠實的來認識歷史，更要務實的面對未來，我們要懂得跟對岸怎麼樣打交道，怎麼樣堅持台灣不會放棄自由民主價值的那一個立場。
因此兩岸必須要有建設性的對話，而要有能力能夠去了解對方，對方也要了解我們。因此要雙方彼此，知己，還要知彼，而且還要易地的相互了解對方底線和我們底線，那就是我們怎麼樣和平相處，避免直接的武裝對立，謝謝。"
3,question,韓國瑜,"謝謝蔡英文總統，您認為你的團隊，夠清廉嗎？你認為你們民進黨內部的派系嚴重嗎？你認為，民進黨整個團隊讓台灣人民開始產生強烈的懷疑，認為你們貪汙腐敗，要，重新啟動，建立，特偵組嗎？

在你領導之下三年半，最厲害的武器，特偵組，偵辦立法委員、部長、院長、總統、副總統。特偵組被廢除，你的內部被派系架空，連你們的立法委員余天～都公開承認，蔡英文被你們新潮流派系給架空、綁架。

當了總統，對外沒有辦法讓政治清明，讓特偵組被廢除。對內、黨內自己又被綁架，做一個架空的總統，請問如果你未來連任，要讓台灣人民繼續感覺這種惡夢嗎？"
